tax	barcode01	barcode02	barcode03	barcode04	barcode06	barcode07	barcode08	total
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella	0.0	0.0	0.0	0.0	0.0	0.0	5129.0	5129.0
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	760.0	714.0	1099.0	557.0	831.0	730.0	30.0	4721.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Ewingella	0.0	0.0	0.0	0.0	0.0	0.0	2046.0	2046.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	93.0	152.0	219.0	241.0	98.0	81.0	0.0	884.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	14.0	37.0	41.0	297.0	298.0	48.0	0.0	735.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Haliangiales;Kofleriaceae;Haliangium	146.0	145.0	173.0	11.0	135.0	116.0	0.0	726.0
Bacteria;Pseudomonadati;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter	137.0	139.0	160.0	17.0	137.0	26.0	0.0	616.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Singulisphaera	40.0	89.0	39.0	176.0	103.0	86.0	0.0	533.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes	107.0	101.0	134.0	73.0	56.0	35.0	0.0	506.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Alloacidobacterium	55.0	79.0	70.0	142.0	22.0	102.0	0.0	470.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Fimbriiglobus	42.0	61.0	60.0	140.0	96.0	65.0	0.0	464.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter	26.0	51.0	49.0	47.0	182.0	99.0	0.0	454.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rouxiella	0.0	0.0	0.0	0.0	1.0	1.0	429.0	431.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas	131.0	84.0	112.0	1.0	68.0	20.0	0.0	416.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae;Paludibaculum	84.0	61.0	64.0	65.0	71.0	67.0	0.0	412.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae;Bryobacter	73.0	72.0	74.0	83.0	42.0	67.0	0.0	411.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia	27.0	55.0	37.0	149.0	29.0	53.0	31.0	381.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Usitatibacteraceae;Usitatibacter	40.0	80.0	100.0	8.0	40.0	33.0	0.0	301.0
Bacteria;Pseudomonadati;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	23.0	29.0	101.0	88.0	38.0	20.0	0.0	299.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Sporosarcina	2.0	2.0	0.0	132.0	93.0	69.0	0.0	298.0
